,movie_id,title,category,year,Poster,Director,Actors,Runtime
0,1,Toy Story ,Adventure,1995,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles",81 min
1,2,Jumanji ,Adventure,1995,https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Joe Johnston,"Robin Williams, Kirsten Dunst, Bonnie Hunt",104 min
2,3,Grumpier Old Men ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Howard Deutch,"Walter Matthau, Jack Lemmon, Ann-Margret",101 min
3,4,Waiting to Exhale ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine",124 min
4,5,Father of the Bride Part II ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Charles Shyer,"Steve Martin, Diane Keaton, Martin Short",106 min
5,6,Heat ,Action,1995,https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",170 min
6,7,Sabrina ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Billy Wilder,"Humphrey Bogart, Audrey Hepburn, William Holden",113 min
7,8,Tom and Huck ,Adventure,1995,https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg,Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Charles Rocket",97 min
8,9,Sudden Death ,Action,1995,https://m.media-amazon.com/images/M/MV5BYWEyODkwYTItZDI1ZC00ODhiLWFkNGMtMTU3NTk2ZGMxYjE3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry",111 min
9,10,GoldenEye ,Action,1995,https://m.media-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_SX300.jpg,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco",130 min
11,12,Dracula: Dead and Loving It ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_SX300.jpg,Mel Brooks,"Leslie Nielsen, Mel Brooks, Peter MacNicol",88 min
12,13,Balto ,Adventure,1995,https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda",78 min
13,14,Nixon ,Drama,1995,https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe",192 min
14,15,Cutthroat Island ,Action,1995,https://m.media-amazon.com/images/M/MV5BNjg0ZjIzMDYtNmUyNS00NzQxLWFhZGQtOGYzMzE0ZWEwM2UxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella",124 min
15,16,Casino ,Crime,1995,https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci",178 min
16,17,Sense and Sensibility ,Drama,1995,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg,Ang Lee,"Emma Thompson, Kate Winslet, James Fleet",136 min
17,18,Four Rooms ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Allison Anders, Alexandre Rockwell, Robert Rodriguez","Tim Roth, Antonio Banderas, Sammi Davis",98 min
18,19,Ace Ventura: When Nature Calls ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow",90 min
19,20,Money Train ,Action,1995,https://m.media-amazon.com/images/M/MV5BNjc3YjQwNGEtODI4Ny00MzgyLWEyMWYtNzMyMjk0MmI4YjY1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez",110 min
20,21,Get Shorty ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg,Barry Sonnenfeld,"Gene Hackman, Rene Russo, Danny DeVito",105 min
21,22,Copycat ,Crime,1995,https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney",123 min
22,23,Assassins ,Action,1995,https://m.media-amazon.com/images/M/MV5BZWY5MGQ1NTQtNzkzNy00YTRkLTk2MjQtZTliNTJiNWZhMzk2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore",133 min
23,24,Powder ,Drama,1995,https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen",111 min
24,25,Leaving Las Vegas ,Drama,1995,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg,Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands",111 min
25,26,Othello ,Drama,1995,https://m.media-amazon.com/images/M/MV5BNzVlMjhjYzctNjQ4My00OGMwLThmZTktODE4MWI3NzNkOWYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,Oliver Parker,"Laurence Fishburne, Kenneth Branagh, Irène Jacob",123 min
26,27,Now and Then ,Children,1995,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg,Lesli Linka Glatter,"Christina Ricci, Demi Moore, Rosie O'Donnell",102 min
27,28,Persuasion ,Drama,1995,https://m.media-amazon.com/images/M/MV5BZDg3MzdiYjAtZWQ0MC00MDY4LWE5ZWEtNjliNTE3ZDZjNTU3XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,Carrie Cracknell,"Richard E. Grant, Henry Golding, Ben Bailey Smith",108 min
29,30,Shanghai Triad ,Crime,1995,https://m.media-amazon.com/images/M/MV5BODgzNGQyNjEtYTU0My00ZGY2LTg4Y2MtMWNiY2QyZGE1MGRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,Yimou Zhang,"Gong Li, Baotian Li, Xiaoxiao Wang",108 min
30,31,Dangerous Minds ,Drama,1995,https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance",99 min
31,32,Twelve Monkeys ,Mystery,1995,https://m.media-amazon.com/images/M/MV5BZTAxNzY1NTktNjA1Zi00MjJjLThkMTgtNTM0NTI1NWIzNDQ3XkEyXkFqcGdeQXVyODAyNDE3Mw@@._V1_SX300.jpg,"Keith Fulton, Louis Pepe","Keith Fulton, Terry Gilliam, Charles Roven, Lloyd Phillips",88 min
32,33,Wings of Courage ,Adventure,1995,https://m.media-amazon.com/images/M/MV5BZWRjOGEyMWEtYmZjMi00MmVmLWE3ZjQtYmJiZTA0MmExYTU5L2ltYWdlXkEyXkFqcGdeQXVyMjI3ODYyNDU@._V1_SX300.jpg,Jean-Jacques Annaud,"Craig Sheffer, Elizabeth McGovern, Tom Hulce",40 min
33,34,Babe ,Children,1995,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Chris Noonan,"James Cromwell, Magda Szubanski, Christine Cavanaugh",91 min
34,35,Carrington ,Drama,1995,https://m.media-amazon.com/images/M/MV5BZjQ3MTBkNDEtMGRlZS00OTY0LTkzYjktOWU2MzI3ZDRiMjY5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Christopher Hampton,"Emma Thompson, Jonathan Pryce, Steven Waddington",121 min
35,36,Dead Man Walking ,Crime,1995,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg,Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky",122 min
36,37,Across the Sea of Time ,Documentary,1995,https://m.media-amazon.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@._V1_SX300.jpg,Stephen Low,"Peter Reznick, John McDonough, Avi Hoffman",51 min
37,38,It Takes Two ,Children,1995,https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg,Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen",101 min
38,39,Clueless ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy",97 min
39,40,"Cry, the Beloved Country ",Drama,1995,https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_SX300.jpg,Darrell Roodt,"Richard Harris, James Earl Jones, Vusi Kunene",106 min
40,41,Richard III ,Drama,1995,https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Richard Loncraine,"Ian McKellen, Annette Bening, Christopher Bowen",110 min
41,42,Dead Presidents ,Action,1995,https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker",119 min
42,43,Restoration ,Drama,1995,https://m.media-amazon.com/images/M/MV5BZmQwODk5ZGItMDk5OS00MjU4LTgyYmUtYTBiMTFhYWM5MDY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis",117 min
43,44,Mortal Kombat ,Action,1995,https://m.media-amazon.com/images/M/MV5BY2ZlNWIxODMtN2YwZi00ZjNmLWIyN2UtZTFkYmZkNDQyNTAyXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_SX300.jpg,Simon McQuoid,"Lewis Tan, Jessica McNamee, Josh Lawson",110 min
44,45,To Die For ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix",106 min
45,46,How to Make an American Quilt ,Drama,1995,https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg,Jocelyn Moorhouse,"Winona Ryder, Ellen Burstyn, Anne Bancroft",117 min
46,47,Seven ,Mystery,1995,https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",207 min
47,48,Pocahontas ,Animation,1995,https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"Mike Gabriel, Eric Goldberg","Mel Gibson, Linda Hunt, Christian Bale",81 min
48,49,When Night Is Falling ,Drama,1995,https://m.media-amazon.com/images/M/MV5BNGUxMDM1ODEtZjhjZi00NjVjLWEwNmUtNmZmOTQ1MzQxNmQ3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny",94 min
50,51,Guardian Angel ,Action,1994,https://m.media-amazon.com/images/M/MV5BMTk5Mjg4MTU0OV5BMl5BanBnXkFtZTgwNzExNTAwNzE@._V1_SX300.jpg,Richard W. Munchkin,"Cynthia Rothrock, Daniel McVicar, Lydie Denier, Marshall R. Teague",97 min
51,52,Mighty Aphrodite ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BMTZmNjJmODktMTI1Ni00OWU5LWI0YTctNjc0MzVkNDE3M2Y0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,Woody Allen,"Woody Allen, Mira Sorvino, Pamela Blair",95 min
52,53,Lamerica ,Adventure,1994,https://m.media-amazon.com/images/M/MV5BNjlmZmQ0ZGUtNTBjYy00ZTg3LWE1NmMtNDAyNDI2Zjc4ZDViXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg,Gianni Amelio,"Enrico Lo Verso, Michele Placido, Piro Milkani",116 min
54,55,Georgia ,Drama,1995,https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Ulu Grosbard,"Jennifer Jason Leigh, Mare Winningham, Ted Levine",115 min
55,56,Kids of the Round Table ,Adventure,1995,https://m.media-amazon.com/images/M/MV5BMTEwMTM0MzI3OTheQTJeQWpwZ15BbWU3MDQzNTQ2MTE@._V1_SX300.jpg,Robert Tinnell,"Johnny Morina, Maggie Castle, Christopher Olscamp",89 min
56,57,Home for the Holidays ,Drama,1995,https://m.media-amazon.com/images/M/MV5BMjVlYTQ4NjgtZWQxMS00ZmQ0LTg4M2QtOGE0ZmJiNDhkMzI4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Jodie Foster,"Holly Hunter, Anne Bancroft, Robert Downey Jr.",103 min
57,58,"Postman, The ",Comedy,1994,https://m.media-amazon.com/images/M/MV5BNzBmMTM2NDAtNDNlMy00YzczLWJiZTEtZjdhYzI0YWE5YjgyXkEyXkFqcGdeQXVyMTMyNTQwNTg@._V1_SX300.jpg,Shannon McIntosh,"Jennifer Beals, Hugo Arévalo, Glenn Close, Charo Cofré",29 min
